name,s1_name,s1_type,s1_price,s2_name,s2_type,s2_price,s3_name,s3_type,s3_price,s4_name,s4_type,s4_price,stickers_json
"MP9 | Sand Scale (Factory New)","Sticker | Zyphon | Antwerp 2022","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | Zyphon | Antwerp 2022"",""type"":""STICKER"",""price"":10}]"
"P250 | Ripple (Factory New)","Sticker | Spirit | 2020 RMR","STICKER",10,"Sticker | Big Hugs","STICKER",10,"Sticker | Spirit | 2020 RMR","STICKER",10,"","",,"[{""name"":""Sticker | Spirit | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Big Hugs"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Spirit | 2020 RMR"",""type"":""STICKER"",""price"":10}]"
"P250 | Ripple (Factory New)","Sticker | Natus Vincere | Paris 2023","STICKER",10,"Sticker | BLAST.tv | Paris 2023","STICKER",10,"Sticker | Spinx (Champion) | Paris 2023","STICKER",10,"","",,"[{""name"":""Sticker | Natus Vincere | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | BLAST.tv | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Spinx (Champion) | Paris 2023"",""type"":""STICKER"",""price"":10}]"
"P250 | Ripple (Minimal Wear)","Sticker | siuhy | Rio 2022","STICKER",10,"Sticker | siuhy | Rio 2022","STICKER",10,"Sticker | siuhy | Rio 2022","STICKER",10,"Sticker | siuhy | Rio 2022","STICKER",10,"[{""name"":""Sticker | siuhy | Rio 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | siuhy | Rio 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | siuhy | Rio 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | siuhy | Rio 2022"",""type"":""STICKER"",""price"":10}]"
"P250 | Supernova (Field-Tested)","Sticker | Fnatic | 2020 RMR","STICKER",10,"Sticker | forZe eSports | Paris 2023","STICKER",10,"","",,"","",,"[{""name"":""Sticker | Fnatic | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | forZe eSports | Paris 2023"",""type"":""STICKER"",""price"":10}]"
"P250 | Supernova (Field-Tested)","Sticker | Martha","STICKER",10,"Sticker | stavn | Rio 2022","STICKER",10,"Sticker | stavn | Rio 2022","STICKER",10,"Sticker | stavn | Rio 2022","STICKER",10,"[{""name"":""Sticker | Martha"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | stavn | Rio 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | stavn | Rio 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | stavn | Rio 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | stavn | Rio 2022"",""type"":""STICKER"",""price"":10}]"
"P250 | Vino Primo (Well-Worn)","Sticker | chopper (Champion) | Shanghai 2024","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | chopper (Champion) | Shanghai 2024"",""type"":""STICKER"",""price"":10}]"
"P250 | X-Ray (Factory New)","Sticker | Complexity Gaming | Paris 2023","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | Complexity Gaming | Paris 2023"",""type"":""STICKER"",""price"":10}]"
"P250 | X-Ray (Factory New)","Sticker | Bad News Eagles | Paris 2023","STICKER",10,"Sticker | Bad News Eagles | Paris 2023","STICKER",10,"Sticker | HEROIC | Shanghai 2024","STICKER",10,"","",,"[{""name"":""Sticker | Bad News Eagles | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Bad News Eagles | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | HEROIC | Shanghai 2024"",""type"":""STICKER"",""price"":10}]"
"P250 | X-Ray (Factory New)","Sticker | Spirit | 2020 RMR","STICKER",10,"Sticker | Spirit | 2020 RMR","STICKER",10,"Sticker | Spirit | 2020 RMR","STICKER",10,"Sticker | Spirit | 2020 RMR","STICKER",10,"[{""name"":""Sticker | Spirit | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Spirit | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Spirit | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Spirit | 2020 RMR"",""type"":""STICKER"",""price"":10}]"
